"FileName","RelativePath","Extension","SizeBytes","IsRuntimeFile","IsEntryPointCandidate","UsesArgumentParsing","UsesConfiguration","UsesLogging","UsesExplicitExit","UsesExceptions","UsesTimestamps","UsesGuidOrUuid","UsesRandomness","UsesFilesystemEnumeration","UsesCultureSensitiveOperations","SHA256"
"test_transitions.py","runtime\tests\test_transitions.py",".py","4084","True","False","False","False","False","False","False","False","True","False","False","False","1FA3F4492EB772FA05CDF0B675A94701A9E0C8BF72D9E4A9D25B4D1A9A89787C"
"test_validation.py","runtime\tests\test_validation.py",".py","9037","True","False","False","False","False","False","False","False","True","False","False","False","DDC14E2F7C9F1434AC8BCA941B4273B371CC664BCE72CF843E2A3919490A7DF1"
"architecture-manifest.schema.json","schemas\architecture-manifest.schema.json",".json","1815","True","False","False","True","False","False","False","False","False","False","False","False","D73E6D74FF7D423029F9E992595BF806E45815C5EFF7315DB95B9AB9D076E0D3"
"Invoke-MS-T1T2ControlledExecution.ps1","tools\verification\Invoke-MS-T1T2ControlledExecution.ps1",".ps1","13408","False","False","True","True","True","False","False","True","False","False","False","False","B25EB4944400BA42BCE6741A90727FA837CF6F0F8FE9C58FDB4AB7B550057483"
"Invoke-MS-T1T2ExecutionReadiness.ps1","tools\verification\Invoke-MS-T1T2ExecutionReadiness.ps1",".ps1","14762","False","False","True","False","True","False","True","True","False","False","False","False","2FF741DFFB8CD6B978B2F8AE6D4295677EC39DB2280C5A51C667493B94059057"
"New-MS-T1T2EvidenceCollectionPacket.ps1","tools\verification\New-MS-T1T2EvidenceCollectionPacket.ps1",".ps1","21025","False","False","True","False","True","False","True","True","False","False","False","False","23CEEDB294E4EEF44E3A20B7B1A65BFBBE1E81833A8FD1087690565D35F83621"
"New-MS-T1T2ExactEntryBlueprint.ps1","tools\verification\New-MS-T1T2ExactEntryBlueprint.ps1",".ps1","10547","False","False","True","True","True","False","True","True","False","False","False","False","C0216A8E2028C609E92994121C420990BFC7AF20770F79DC3473A8BC3AAAE2E6"
"New-MS-T1T2ExecutionWorkspaces.ps1","tools\verification\New-MS-T1T2ExecutionWorkspaces.ps1",".ps1","18935","False","False","True","True","True","False","True","True","False","False","False","False","5432FB6299C9DC660DB7746A171B505BB7DC1244DF1CE6BF7462510F2D6F24E5"
"Run-MS-T2.py","verification\MS-T2_DEPENDENCY_PROPAGATION_TRIAL\Run-MS-T2.py",".py","1412","False","False","False","False","False","False","False","False","False","False","False","False","363C5275ED675A71F059B47F3C56A3ACE10EDE3F8AD5240739213DFAD0AA1557"
"CANONICAL_THEOREM_PROFILE.json","volumes\VOLUME_I_FOUNDATION\verification\_NEXT_VERIFICATION_INTAKE\CANONICAL_THEOREM_PROFILE.json",".json","1522","False","False","False","True","False","False","False","False","False","False","False","False","6A40534E653D410B74CBAD19D9A9BFA9EA109C34097D93066930BAFC3F53DDBB"
"SOURCE_DISCOVERY_MANIFEST.json","volumes\VOLUME_I_FOUNDATION\verification\_NEXT_VERIFICATION_INTAKE\SOURCE_DISCOVERY_MANIFEST.json",".json","853","False","False","False","True","False","False","False","False","False","False","False","False","F522C17325B46D6DA9CA94A3D459337527BEF2D7488B882D3D52334FB767778D"
"TARGET.json","volumes\VOLUME_I_FOUNDATION\verification\_NEXT_VERIFICATION_INTAKE\TARGET.json",".json","1206","False","False","False","False","False","False","False","False","False","False","False","False","61F0AD808145BAF4432D727783E25B3C53137968316AE633222B35351705F65A"
"CANONICAL_THEOREM_PROFILE.json","volumes\VOLUME_I_FOUNDATION\verification\MS-T1\source_snapshot\CANONICAL_THEOREM_PROFILE.json",".json","1522","False","False","False","True","False","False","False","False","False","False","False","False","6A40534E653D410B74CBAD19D9A9BFA9EA109C34097D93066930BAFC3F53DDBB"
"SOURCE_DISCOVERY_MANIFEST.json","volumes\VOLUME_I_FOUNDATION\verification\MS-T1\source_snapshot\SOURCE_DISCOVERY_MANIFEST.json",".json","853","False","False","False","True","False","False","False","False","False","False","False","False","F522C17325B46D6DA9CA94A3D459337527BEF2D7488B882D3D52334FB767778D"
"TARGET.json","volumes\VOLUME_I_FOUNDATION\verification\MS-T1\source_snapshot\TARGET.json",".json","704","False","False","False","False","False","False","False","False","False","False","False","False","8A2EF88EDB3C76F3A92A8A83FBAE8C1C4F1A31D78990443A5D32E36DAFEB8BB5"
"CONDITION_EVALUATION_DECISION.json","volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment\CONDITION_EVALUATION_DECISION.json",".json","889","False","False","False","True","False","False","False","False","False","False","False","False","1BD0C3794FFEFA8ADAAD603FD84B2D65E149D5BF9CB6AB55D517419B897A46C8"
"CONSTRAINT_EVALUATION_DECISION.json","volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment\CONSTRAINT_EVALUATION_DECISION.json",".json","1337","False","False","False","True","False","False","False","False","False","False","False","False","E402F573E3E4CB64A337B98709B9BF8A143A09C0E564EF7A4336DB7584C5BB65"
"EVIDENCE_ADMISSIBILITY_DECISION.json","volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment\EVIDENCE_ADMISSIBILITY_DECISION.json",".json","982","False","False","False","True","False","False","False","False","False","False","False","False","7C87467CEAF5368E57CE1EB079F55A498AF9A53C7DAF4A9CA11E7AE49D27BAA2"
"EXECUTION_GATE.json","volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment\EXECUTION_GATE.json",".json","1105","False","False","False","True","False","False","False","False","False","False","False","False","C3B991506B166970B9CF7C373B6E459E378FB55416752AC87A355A7813AB7BC2"
"THEOREM_DECISION.json","volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment\THEOREM_DECISION.json",".json","2534","False","False","False","True","False","False","False","False","False","False","False","False","0F7E789022C916080B7CE9853AFFB19DAA9402DD53AA05542C5903EA195C7B10"
